wkt_geom,row,column,botm_001,botm_002,botm_003,botm_004,model_top,thickn_001,thickn_002,thickn_003,thickn_004,,,,,,,,,,,,,,
"Polygon ((6351545.05254625901579857 19217472.7088911160826683, 6354766.6190116573125124 19213289.41957420110702515, 6358949.9083285741508007 19216510.98603959754109383, 6355728.3418631749227643 19220694.27535651251673698, 6351545.05254625901579857 19217472.7088911160826683))",63,101,-460,-1565,-1895,-2922,87,547,1105,330,1027,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
wkt_geom,row,column,com_001,com_002,com_003,com_004,hc_001,hc_002,hc_003,hc_004,sfe_001,sfe_002,sfe_003,sfe_004,sfv_001,sfv_002,sfv_003,sfv_004,,,,,,,
"Polygon ((6351545.05254625901579857 19217472.7088911160826683, 6354766.6190116573125124 19213289.41957420110702515, 6358949.9083285741508007 19216510.98603959754109383, 6355728.3418631749227643 19220694.27535651251673698, 6351545.05254625901579857 19217472.7088911160826683))",63,101,0,0,0,0,15,15,15,15,0.000174519999,0.000115000003,1.70E-07,6.30E-06,0.01745199971,0.01150000002,1.70E-05,0.000630000024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
wkt_geom,row,column,horizo_001,horizo_002,horizo_003,horizo_004,second_001,second_002,second_003,second_004,sf1_001,sf1_002,sf1_003,sf1_004,tran_001,tran_002,tran_003,tran_004,vcont_001,vcont_002,vcont_003,wetdry_001,wetdry_002,wetdry_003,wetdry_004
"Polygon ((6351545.05254625901579857 19217472.7088911160826683, 6354766.6190116573125124 19213289.41957420110702515, 6358949.9083285741508007 19216510.98603959754109383, 6355728.3418631749227643 19220694.27535651251673698, 6351545.05254625901579857 19217472.7088911160826683))",63,101,0,0,0,0,0,0,0,0,0.006000000052,0.000360000005,0.00033000001,0.000347399997,8515.599609,7758,3.607599974,1927.492065,4.00E-06,5.80E-06,1.54E-09,0,0,0,0
,,,,,,,,hk,hk,hk,hk,,,,,,,,,,,,,,
,,,,,,,,15.56782378,7.02081448,0.01093212113,1.87681798,,,,,,,,,,,,,,
