,Time,layer_1,layer_2,layer_3,layer_4
0,10000.0,0.0,0.0,0.0,0.0
1,10010.0,10.458366394042969,16.653297424316406,16.55950927734375,1.317352294921875
2,10020.0,13.626518249511719,19.97631072998047,19.934104919433594,2.6402130126953125
3,10030.0,15.125419616699219,21.508499145507812,21.479293823242188,3.3667755126953125
4,10040.0,16.071426391601562,22.486495971679688,22.46489715576172,3.8627166748046875
5,10044.99609375,32.43858337402344,54.14339828491211,53.66806411743164,7.807891845703125
6,10049.9931640625,41.13936996459961,64.4858169555664,64.2406005859375,10.923873901367188
7,10054.9931640625,46.381526947021484,70.5023193359375,70.3375244140625,15.743026733398438
8,10058.994140625,62.17842102050781,105.55229187011719,104.55455780029297,25.148361206054688
9,10062.994140625,74.42291259765625,124.4829330444336,123.81109619140625,33.42466735839844
10,10066.4951171875,85.95599365234375,149.27880859375,148.38035583496094,35.84642028808594
11,10069.99609375,94.31097412109375,163.21775817871094,162.616455078125,36.19273376464844
12,10071.9951171875,101.51224517822266,178.54978942871094,177.00927734375,36.52935791015625
13,10079.99609375,132.09317016601562,227.34548950195312,226.64749145507812,40.727386474609375
14,10082.998046875,145.54620361328125,270.373046875,268.6968078613281,42.79119873046875
15,10084.99609375,156.2900848388672,286.732421875,285.45465087890625,44.53594970703125
16,10085.99609375,160.2671661376953,310.079833984375,307.30487060546875,45.15435791015625
17,10086.9951171875,164.56915283203125,322.1416931152344,320.07763671875,45.33949279785156
18,10087.994140625,169.72561645507812,332.661376953125,330.9130554199219,45.547943115234375
19,10088.994140625,174.95413208007812,349.8266906738281,347.16552734375,45.91400146484375
20,10089.0791015625,175.39341735839844,350.61846923828125,348.3956298828125,45.9508056640625
21,10089.154296875,175.78111267089844,351.29266357421875,349.3460388183594,45.98533630371094
22,10089.240234375,176.2144317626953,352.30279541015625,350.3459167480469,46.02958679199219
23,10089.322265625,176.65481567382812,354.07318115234375,351.502685546875,46.08642578125
24,10089.408203125,177.13787841796875,356.17889404296875,353.0267333984375,46.16612243652344
25,10089.490234375,177.63970947265625,358.66815185546875,354.8212890625,46.263580322265625
26,10089.5751953125,178.20510864257812,361.98260498046875,357.1423645019531,46.38139343261719
27,10089.6611328125,178.81072998046875,365.4478759765625,359.9143371582031,46.512847900390625
28,10089.7431640625,179.40365600585938,367.74066162109375,362.61767578125,46.65223693847656
29,10089.8291015625,179.9930419921875,368.70599365234375,364.8544921875,46.80900573730469
30,10089.9111328125,180.5198974609375,367.921142578125,365.9999084472656,46.972198486328125
31,10089.99609375,181.0238494873047,367.400390625,366.5252990722656,47.15087890625
32,10090.99609375,186.67300415039062,376.66766357421875,374.8877868652344,49.49366760253906
33,10091.0810546875,187.14382934570312,376.0513916015625,375.323486328125,49.70576477050781
