,Time,layer_1,layer_2,layer_3,layer_4
78,10112.6455078125,238.93826293945312,379.01708984375,380.2625732421875,153.26214599609375
79,10112.9775390625,238.16336059570312,377.95623779296875,378.5234680175781,160.49127197265625
80,10113.3095703125,235.7779541015625,347.27105712890625,357.0215759277344,167.98870849609375
81,10113.9736328125,230.39108276367188,332.607177734375,335.1454772949219,180.7079315185547
82,10114.6376953125,229.72125244140625,355.89141845703125,353.51824951171875,193.71539306640625
83,10114.96875,230.2740478515625,358.0694580078125,356.85302734375,200.70440673828125
84,10115.30078125,229.98159790039062,337.3510437011719,343.54827880859375,207.1638641357422
85,10115.96484375,227.18182373046875,328.1199645996094,329.64398193359375,219.860107421875
86,10116.62890625,223.17489624023438,308.2165222167969,310.9134826660156,231.1737518310547
87,10116.9609375,221.2198486328125,304.9749755859375,306.56060791015625,236.38381958007812
88,10117.29296875,220.68914794921875,311.73150634765625,309.978271484375,241.98915100097656
89,10117.95703125,220.026123046875,313.7694091796875,313.3970947265625,254.2996368408203
90,10118.62109375,220.44131469726562,332.32745361328125,330.24951171875,264.0590515136719
91,10118.953125,221.25399780273438,334.41827392578125,333.25396728515625,268.6053466796875
